Puzzle number,Algorithm,Heuristic,Lenghth of the Solution,Lenghth of the Search Path,Execution Time (in seconds)
31,A/A*,h4,,,
32,UCS,N/A,,,
32,GBFS,h1,,,
32,A/A*,h1,,,
32,GBFS,h2,,,
32,A/A*,h2,,,
32,GBFS,h3,,,
32,A/A*,h3,,,
32,GBFS,h4,,,
32,A/A*,h4,,,
33,UCS,N/A,,,
33,GBFS,h1,,,
33,A/A*,h1,,,
33,GBFS,h2,,,
33,A/A*,h2,,,
33,GBFS,h3,,,
33,A/A*,h3,,,
33,GBFS,h4,,,
33,A/A*,h4,,,
34,UCS,N/A,,,
34,GBFS,h1,,,
34,A/A*,h1,,,
34,GBFS,h2,,,
34,A/A*,h2,,,
34,GBFS,h3,,,
34,A/A*,h3,,,
34,GBFS,h4,,,
34,A/A*,h4,,,
35,UCS,N/A,,,
35,GBFS,h1,,,
35,A/A*,h1,,,
35,GBFS,h2,,,
35,A/A*,h2,,,
35,GBFS,h3,,,
35,A/A*,h3,,,
35,GBFS,h4,,,
35,A/A*,h4,,,
36,UCS,N/A,,,
36,GBFS,h1,,,
36,A/A*,h1,,,
36,GBFS,h2,,,
36,A/A*,h2,,,
36,GBFS,h3,,,
36,A/A*,h3,,,
36,GBFS,h4,,,
36,A/A*,h4,,,
37,UCS,N/A,,,
37,GBFS,h1,,,
37,A/A*,h1,,,
37,GBFS,h2,,,
37,A/A*,h2,,,
37,GBFS,h3,,,
37,A/A*,h3,,,
37,GBFS,h4,,,
37,A/A*,h4,,,
38,UCS,N/A,,,
38,GBFS,h1,,,
38,A/A*,h1,,,
38,GBFS,h2,,,
38,A/A*,h2,,,
38,GBFS,h3,,,
38,A/A*,h3,,,
38,GBFS,h4,,,
38,A/A*,h4,,,
39,UCS,N/A,,,
39,GBFS,h1,,,
39,A/A*,h1,,,
39,GBFS,h2,,,
39,A/A*,h2,,,
39,GBFS,h3,,,
39,A/A*,h3,,,
39,GBFS,h4,,,
39,A/A*,h4,,,
40,UCS,N/A,,,
40,GBFS,h1,,,
40,A/A*,h1,,,
40,GBFS,h2,,,
40,A/A*,h2,,,
40,GBFS,h3,,,
40,A/A*,h3,,,
40,GBFS,h4,,,
40,A/A*,h4,,,
41,UCS,N/A,,,
41,GBFS,h1,,,
41,A/A*,h1,,,
41,GBFS,h2,,,
41,A/A*,h2,,,
41,GBFS,h3,,,
41,A/A*,h3,,,
41,GBFS,h4,,,
41,A/A*,h4,,,
42,UCS,N/A,,,
42,GBFS,h1,,,
42,A/A*,h1,,,
42,GBFS,h2,,,
42,A/A*,h2,,,
42,GBFS,h3,,,
42,A/A*,h3,,,
42,GBFS,h4,,,
42,A/A*,h4,,,
43,UCS,N/A,,,
43,GBFS,h1,,,
43,A/A*,h1,,,
43,GBFS,h2,,,
43,A/A*,h2,,,
43,GBFS,h3,,,
43,A/A*,h3,,,
43,GBFS,h4,,,
43,A/A*,h4,,,
44,UCS,N/A,,,
44,GBFS,h1,,,
44,A/A*,h1,,,
44,GBFS,h2,,,
44,A/A*,h2,,,
44,GBFS,h3,,,
44,A/A*,h3,,,
44,GBFS,h4,,,
44,A/A*,h4,,,
45,UCS,N/A,,,
45,GBFS,h1,,,
45,A/A*,h1,,,
45,GBFS,h2,,,
45,A/A*,h2,,,
45,GBFS,h3,,,
45,A/A*,h3,,,
45,GBFS,h4,,,
45,A/A*,h4,,,
46,UCS,N/A,,,
46,GBFS,h1,,,
46,A/A*,h1,,,
46,GBFS,h2,,,
46,A/A*,h2,,,
46,GBFS,h3,,,
46,A/A*,h3,,,
46,GBFS,h4,,,
46,A/A*,h4,,,
47,UCS,N/A,,,
