5 4 1  ICC...IJDD.FIJKAAFEEK.LH....LH.GGGBB
5 3 2  I.CC..IJDDLFIJAALFEEK..H..K..H.GGGBB
5 4 1  IJ.CC.IJDD.FIAA..FEEK.LH..K.LH.GGGBB
5 4 1  I.CCL.IJDDLFIJKAAFEEK..H.....H.GGGBB
5 4 1  IJ.CC.IJDD.FI.AA.FEEK.LH..K.LH.GGGBB
5 3 2  IJCC..IJDDLFI.AALFEEK..H..K..H.GGGBB
5 4 1  IJ.CC.IJDD.FI..AAFEEK.LH..K.LH.GGGBB
5 4 1  IJCC..IJDD.FI..AAFEEK.LH..K.LH.GGGBB
5 4 1  I..CC.IJDD.FIJKAAFEEK.LH....LH.GGGBB
5 2 3  IJ..CCIJDDLFI.AALFEEK..H..K..H.GGGBB
5 4 1  IJ.CC.IJDD.FIAA..FEEK.LH..K.LH.GGGBB
5 3 2  I...CCIJDD.FIJKAAFEEK.LH....LH.GGGBB
5 4 1  I.CC..IJDD.FIJ.AAFEEK.LH..K.LH.GGGBB
5 3 2  I.CC..IJDDLFIJAALFEEK..H..K..H.GGGBB
5 4 1  IJCC..IJDD.FIAA..FEEK.LH..K.LH.GGGBB
5 3 2  IJCC..IJDDLFI.AALFEEK..H..K..H.GGGBB
5 4 1  IJCCL.IJDDLFI..AAFEEK..H..K..H.GGGBB
5 4 1  I.CC..IJDD.FIJKAAFEEK.LH....LH.GGGBB
5 4 1  IJCC..IJDD.FI..AAFEEK.LH..K.LH.GGGBB
5 4 1  IJCCL.IJDDLFIAA..FEEK..H..K..H.GGGBB
5 4 1  IJCC..IJDD.FIAA..FEEK.LH..K.LH.GGGBB
5 3 2  IJ..CCIJDD.FI..AAFEEK.LH..K.LH.GGGBB
5 4 1  ICC...IJDD.FIJKAAFEEK.LH....LH.GGGBB
5 4 1  IJCC..IJDD.FIAA..FEEK.LH..K.LH.GGGBB
6 4 2  IJ.CC.IJDDLFI.AALFEEK..H..K..H.GGGBB
6 4 2  I...CCIJDD.FIJ.AAFEEK.LH..K.LH.GGGBB
6 5 1  IJ.CC.IJDD.FI.KAAFEEK.LH....LH.GGGBB
6 4 2  IJCC..IJDDLFIAA.LFEEK..H..K..H.GGGBB
6 5 1  IJCC..IJDD.FI.KAAFEEK.LH....LH.GGGBB
6 4 2  IJ..CCIJDD.FI..AAFEEK.LH..K.LH.GGGBB
6 5 1  IJ.CC.IJDD.FIAA..FEEK.LH..K.LH.GGGBB
6 4 2  IJCC..IJDDLFI.AALFEEK..H..K..H.GGGBB
6 5 1  ICC...IJDD.FIJKAAFEEK.LH....LH.GGGBB
6 5 1  IJCCL.IJDDLFI.KAAFEEK..H.....H.GGGBB
