3 0 3  J..CCCJDD..MJAAL.MFF.L.NBB.GGN.HH...
8 5 3  JCCC.MJ..DDMJAAL.NFF.L.NBB.GG..HH...
8 5 3  JCCC..J..LDDJAAL.MFF...MBB.GGN.HH..N
8 5 3  JCCC..J...DDJAAL.MFF.L.MBB.GGN.HH..N
8 5 3  J.CCCMJ.DD.MJAAL.NFF.L.NBB.GG..HH...
8 5 3  J.CCCMJ.DD.MJAAL.NFF.L.NBB.GG..HH...
8 5 3  JCCC.MJ.DD.MJAAL.NFF.L.NBB.GG..HH...
8 5 3  JCCC.MJ..DDMJAAL.NFF.L.NBB.GG..HH...
8 5 3  J.CCCMJ.DD.MJAAL.NFF.L.NBB.GG..HH...
8 5 3  JCCC.MJ.DD.MJAAL.NFF.L.NBB.GG..HH...
8 5 3  JCCC..J...DDJAAL.MFF.L.MBB.GGN.HH..N
8 5 3  JCCC..J...DDJAAL.MFF.L.MBB.GGN.HH..N
8 5 3  J.CCCMJ..DDMJAAL.NFF.L.NBB.GG..HH...
8 5 3  JCCC.MJ.DD.MJAAL.NFF.L.NBB.GG..HH...
8 5 3  J.CCC.J.DD..JAAL.MFF.L.MBB.GGN.HH..N
8 5 3  JCCC.MJ..DDMJAAL.NFF.L.NBB.GG..HH...
8 5 3  J.CCC.J...DDJAAL.MFF.L.MBB.GGN.HH..N
8 5 3  JCCC..J..LDDJAAL.MFF...MBB.GGN.HH..N
8 5 3  J.CCC.J..LDDJAAL.MFF...MBB.GGN.HH..N
8 5 3  JCCC.MJ..DDMJAAL.NFF.L.NBB.GG..HH...
8 5 3  JCCC..J.DD..JAAL.MFF.L.MBB.GGN.HH..N
8 5 3  JCCC..J..DD.JAAL.MFF.L.MBB.GGN.HH..N
8 5 3  JCCC.MJ..DDMJAAL.NFF.L.NBB.GG..HH...
8 5 3  JCCC..J...DDJAAL.MFF.L.MBB.GGN.HH..N
8 5 3  JCCC..J.DD.MJAAL.MFF.L..BB.GGN.HH..N
8 5 3  J.CCC.J...DDJAAL.MFF.L.MBB.GGN.HH..N
8 5 3  J.CCC.J..LDDJAAL.MFF...MBB.GGN.HH..N
9 6 3  J.CCC.J..LDDJAAL.MFF...MBB.GGN.HH..N
9 6 3  JCCC..J..DD.JAAL.MFF.L.MBB.GGN.HH..N
9 6 3  J.CCC.J..LDDJAAL.MFF...MBB.GGN.HH..N
9 6 3  J.CCC.J..LDDJAAL.MFF...MBB.GGN.HH..N
