0 4 0  JBB.CCJ.DD..JAAL.....L..FNN..MFHHKKM
0 4 0  JBB.CCJ.DD..JAAL.M...L.MF..NN.FHHKK.
0 4 0  JBB.CCJDDL..JAAL.......MF.NN.MFHHKK.
0 4 0  JBBLCCJDDL..JAA.........F..NNMFHHKKM
0 4 0  J.BBCCJDDL.MJAAL.M......F.NN..FHHKK.
0 4 0  JBB.CCJDDL..JAAL.......MF.NN.MFHHKK.
0 4 0  JBBLCCJDDL..JAA.........F..NNMFHHKKM
0 4 0  J.BBCCJ.DD..J..AAM...L.MF..LNNFHHKK.
0 4 0  J.BBCCJDDL..JAAL.M.....MF.NN..FHHKK.
0 4 0  J.BBCCJDD...JAAL.....L.MFNN..MFHHKK.
0 4 0  JBB.CCJDDL..JAAL........F.NN.MFHHKKM
0 4 0  J.BBCCJDD..MJAAL.M...L..F.NN..FHHKK.
0 4 0  J.BBCCJDD..MJAA..M...L..FNNL..FHHKK.
0 4 0  J.BBCCJDD...JAAL.....L..F..NNMFHHKKM
0 4 0  JBB.CCJDD...JAAL.....L..F..NNMFHHKKM
0 4 0  JBBLCCJDDL..JAA........MFNN..MFHHKK.
0 4 0  J.BBCCJDD...JAAL.M...L.MFNN...FHHKK.
0 4 0  J.BBCCJ..DDMJAAL.M...L..FNN...FHHKK.
0 4 0  JBB.CCJ...DDJ..AAM...L.MF..LNNFHHKK.
0 4 0  J.BBCCJ.DD.MJAAL.M...L..FNN...FHHKK.
0 4 0  J.BBCCJDDL.MJAAL.M......FNN...FHHKK.
0 4 0  JBB.CCJDDL..JAAL........FNN..MFHHKKM
0 4 0  JBB.CCJ..DD.JAAL.....L..F..NNMFHHKKM
0 4 0  JBBLCCJDDL..J..AAM.....MF.NN..FHHKK.
