0 5 0  BB.CCCJ.DD.MJ..AAMJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ..DDMJ.AA.MJ.KL.NFFKL.N.HH.GG
0 5 0  BBCCC.JDD..MJ.AA.MJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ.DD.MJ..AAMJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJDD..MJ..AAMJ.KL.NFFKL.N.HH.GG
0 5 0  BBCCC.JDD..MJ..AAMJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ.DD.MJ.AA.MJ.KL.NFFKL.N.HH.GG
0 5 0  BBCCC.JDD..MJ..AAMJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ..DDMJ..AAMJ.KL.NFFKL.N.HH.GG
0 5 0  BBCCC.J.DD.MJAA..MJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ..DDMJ.AA.MJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ..DDMJ.AA.MJ.KL.NFFKL.N.HH.GG
0 5 0  BBCCC.J..DDMJAA..MJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ.DD.MJ.AA.MJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ.DD.MJ.AA.MJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ..DDMJ..AAMJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ.DD.MJ..AAMJ.KL.NFFKL.N.HH.GG
0 5 0  BBCCC.J.DD.MJAA..MJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ.DD.MJ..AAMJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ.DD.MJ..AAMJ.KL.NFFKL.N.HH.GG
0 5 0  BBCCC.JDD..MJ..AAMJ.KL.NFFKL.N.HH.GG
0 5 0  BBCCC.JDD..MJ.AA.MJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ.DD.MJ..AAMJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ.DD.MJ.AA.MJ.KL.NFFKL.N.HH.GG
0 5 0  BBCCC.J..DDMJAA..MJ.KL.NFFKL.N.HH.GG
0 5 0  BBCCC.J.DD.MJAA..MJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ..DDMJ..AAMJ.KL.NFFKL.N.HH.GG
0 5 0  BBCCCMJDD..MJAA...J.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ.DD.MJ.AA.MJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ.DD.MJ..AAMJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ.DD.MJ..AAMJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ..DDMJ.AA.MJ.KL.NFFKL.N.HH.GG
0 5 0  BBCCC.JDD..MJ..AAMJ.KL.NFFKL.N.HH.GG
0 5 0  BBCCC.J..DDMJAA..MJ.KL.NFFKL.N.HH.GG
0 5 0  BBCCC.J.DD.MJAA..MJ.KL.NFFKL.N.HH.GG
0 5 0  BBCCC.J.DD.MJAA..MJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ..DDMJ.AA.MJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ..DDMJ..AAMJ.KL.NFFKL.N.HH.GG
0 5 0  BBCCC.J..DDMJAA..MJ.KL.NFFKL.N.HH.GG
0 5 0  BBCCCMJ..DDMJAAL..J.KL.NFFK..N.HH.GG
0 5 0  BB.CCCJ..DDMJ..AAMJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ..DDMJ.AA.MJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ.DD.MJ..AAMJ.KL.NFFKL.N.HH.GG
0 5 0  BBCCC.JDD..MJ..AAMJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ..DDMJ..AAMJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ..DDMJ.AA.MJ.KL.NFFKL.N.HH.GG
0 5 0  BBCCC.J..DDMJAA..MJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ.DD.MJ.AA.MJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ..DDMJ..AAMJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ..DDMJ..AAMJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ..DDMJ.AA.MJ.KL.NFFKL.N.HH.GG
0 5 0  BBCCC.J..DDMJAA..MJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ..DDMJ..AAMJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ..DDMJ.AA.MJ.KL.NFFKL.N.HH.GG
0 5 0  BBCCC.J..DDMJAA..MJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ..DDMJ..AAMJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ.DD.MJ.AA.MJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ..DDMJ.AA.MJ.KL.NFFKL.N.HH.GG
0 5 0  BBCCC.JDD..MJ.AA.MJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ.DD.MJ.AA.MJ.KL.NFFKL.N.HH.GG
0 5 0  BB.CCCJ.DD.MJ..AAMJ.KL.NFFKL.N.HH.GG
