0 3 0  BBIEE.GHI.K.GHAAKLG.DDKL...J..FF.J..
0 3 0  BBI.EEG.I..LGHAA.LGHDDK....JK.FF.JK.
0 3 0  BBI.EEGHI...GHAA.LG.DDKL...JK.FF.JK.
0 3 0  BBI.EE..I...G.AAKLGHDDKLGH.JK.FF.J..
0 3 0  BBI.EE..I...G.AA..GHDDKLGH.JKLFF.JK.
0 3 0  BBIEE...I...G.AA.LGHDDKLGH.JK.FF.JK.
0 3 0  BBIEE.G.I...GHAA.LGHDDKL...JK.FF.JK.
0 3 0  BBI.EE..I...GAA..LGHDDKLGH.JK.FF.JK.
0 3 0  BBI.EEG.I...GHAAK.GHDDKL...JKLFF.J..
0 3 0  BBI.EE.HI..LGHAA.LG.DDK.G..JK.FF.JK.
0 3 0  BBI.EE..I...GH..AAGHDDKLG..JKLFF.JK.
