0 4 0  CBB...CDD.G.KKAAGMJ....MJEE..MJHHII.
0 4 0  CBB...C..DD.KKAAG.J...GMJEE..MJHHIIM
0 4 0  CBB..MCDD.GMKKAAGMJ.....JEE...JHHII.
0 4 0  CBB...C.DD..KK.AAMJ...GMJEE.GMJHHII.
0 4 0  CBB...C..DD.KKAAG.J...GMJEE..MJHHIIM
0 4 0  CBB...C.DD.M.KKAAMJ...GMJEE.G.JHHII.
0 4 0  CBB...C..DDMKK.AAMJ...GMJEE.G.JHHII.
0 4 0  CBB...C.DDG.KKAAG.J....MJEE..MJHHIIM
0 4 0  CBB...C.DDG.KKAAG.J....MJEE..MJHHIIM
0 4 0  CBB...CDD..MKK.AAMJ...GMJEE.G.JHHII.
0 4 0  CBB..MC.DD.MKK.AAMJ...G.JEE.G.JHHII.
0 4 0  CBB...CDD...KKAAG.J...GMJEE..MJHHIIM
0 4 0  CBB...CDD.G.KKAAGMJ....MJEE..MJHHII.
0 4 0  CBB..MCDD.GMKKAAGMJ.....JEE...JHHII.
0 4 0  CBB...CDD...KKAA..J...GMJEE.GMJHHIIM
0 4 0  CBB...CDD.G.KKAAG.J....MJEE..MJHHIIM
0 4 0  CBB...C..DD.KKAA..J...GMJEE.GMJHHIIM
0 4 0  CBB...CDD.G.KKAAGMJ....MJEE..MJHHII.
0 4 0  CBB...C.DDG.KKAAG.J....MJEE..MJHHIIM
0 4 0  CBB...C.DD..KK.AA.J...GMJEE.GMJHHIIM
0 4 0  CBB...C..DD.KKAA..J...GMJEE.GMJHHIIM
0 4 0  CBB...C...DDKKAA..J...GMJEE.GMJHHIIM
0 4 0  CBB...C..DD.KKAA..J...GMJEE.GMJHHIIM
0 4 0  CBB...CDD...KKAAG.J...GMJEE..MJHHIIM
0 4 0  CBB...CDD...KKAAG.J...GMJEE..MJHHIIM
0 4 0  CBB...CDD...KKAA..J...GMJEE.GMJHHIIM
0 4 0  CBB...C.DD..KK.AAMJ...GMJEE.GMJHHII.
0 4 0  CBB...C.DD..KKAA..J...GMJEE.GMJHHIIM
0 4 0  CBB...C...DDKKAA.MJ...GMJEE.GMJHHII.
0 4 0  CBB...C..DD.KKAA.MJ...GMJEE.GMJHHII.
0 4 0  CBB...C.DD..KKAA.MJ...GMJEE.GMJHHII.
0 4 0  CBB..MC..DDMKKAA.MJ...G.JEE.G.JHHII.
0 4 0  CBB...CDD...KKAA.MJ...GMJEE.GMJHHII.
0 4 0  CBB...C.DD..KK..AAJ...GMJEE.GMJHHIIM
